ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y
63,6a296ac2-6f77-486f-b7ed-ce9cc672d14f,917,De_Campo,12/14/2021 3:00:00 PM,Rio_Negro,sgsp,,5/27/2022 4:06:46 PM,sinae_covid_19,5/27/2022 4:06:46 PM,sinae_covid_19,-58.1026231346226,-33.117995593684
64,45496126-fb46-46f0-8654-3613c5df6630,916,Interface_Urbana,12/14/2021 3:00:00 PM,Canelones,sgsp,15,5/27/2022 4:09:43 PM,sinae_covid_19,5/27/2022 4:09:43 PM,sinae_covid_19,-55.75908,-34.76746
65,d7ebefc0-b73a-4788-8e4d-14ecb8c46e71,915,De_Campo,12/8/2021 3:00:00 PM,Flores,sgsp,45,5/27/2022 4:20:28 PM,sinae_covid_19,5/27/2022 4:20:28 PM,sinae_covid_19,-57.1237586907923,-33.5749735501863
66,fa43da13-69d2-4332-b63c-dc218f427a5f,913,De_Campo,12/3/2021 3:00:00 PM,Rio_Negro,sgsp,10,5/27/2022 4:24:07 PM,sinae_covid_19,5/27/2022 4:24:07 PM,sinae_covid_19,-57.45545,-32.85738
67,91f116e7-1959-4960-89cb-95eb07d63b25,773,Forestal_Plantado,11/22/2021 3:00:00 PM,Maldonado,prensa,300,5/27/2022 4:39:27 PM,sinae_covid_19,5/27/2022 4:39:27 PM,sinae_covid_19,-55.3810608029176,-34.7663314648408
68,d0c810d7-3818-41a2-bdcf-a92183c18d41,770,Interface_Urbana,11/21/2021 3:00:00 PM,Salto,prensa,,5/27/2022 5:14:53 PM,sinae_covid_19,5/27/2022 5:14:53 PM,sinae_covid_19,-57.9589471748564,-31.4148048992127
69,49d365bf-3563-456d-bfaa-f540f8c3a1e9,769,De_Campo,11/21/2021 3:00:00 PM,Maldonado,prensa,,5/27/2022 5:23:46 PM,sinae_covid_19,5/27/2022 5:23:46 PM,sinae_covid_19,-54.960516590562,-34.7664170952694
70,c57e67dc-6c52-4f9e-805f-3f45bb973e4c,912,De_Campo,12/2/2021 3:00:00 PM,Colonia,sgsp,31,5/30/2022 6:56:05 PM,sinae_covid_19,5/30/2022 6:56:05 PM,sinae_covid_19,-57.6757106347575,-34.3240938020363
71,aa7090ab-5d10-4f53-8286-9ce092fd0b09,914,De_Campo,12/7/2021 3:00:00 PM,Cerro_Largo,sgsp,,5/30/2022 7:22:33 PM,sinae_covid_19,5/30/2022 7:22:33 PM,sinae_covid_19,-54.0262087771006,-32.3895571333962
72,87f7811e-91dc-4bd7-8b68-da8be92b9054,926,De_Campo,12/22/2021 3:00:00 PM,Cerro_Largo,sgsp,,5/30/2022 7:28:45 PM,sinae_covid_19,6/15/2022 5:12:01 PM,sinae_covid_19,-54.1630642160098,-32.3929532811257
73,b1c21b20-f83e-4d75-ad89-80c474e828e7,932,De_Campo,12/27/2021 3:00:00 PM,Lavalleja,sgsp,4,5/30/2022 7:35:40 PM,sinae_covid_19,5/30/2022 7:35:40 PM,sinae_covid_19,-55.2844472282132,-34.3153092545
74,c269dfaa-a57f-46bf-8c32-dae4ae03aa61,960,Interface_Urbana,1/9/2022 3:00:00 PM,Canelones,sgsp,3,5/30/2022 7:49:19 PM,sinae_covid_19,5/30/2022 7:49:19 PM,sinae_covid_19,-55.9849141249224,-34.7681289448539
75,a0bbd774-d9bc-4045-8487-c73d4a2562bd,955,Interface_Urbana,1/6/2022 3:00:00 PM,Salto,sgsp,1,5/30/2022 7:54:44 PM,sinae_covid_19,5/30/2022 7:54:44 PM,sinae_covid_19,-57.9705190868716,-31.4064622963792
76,f6ac7af4-d516-4b4e-a645-2563b6ef406b,943,De_Campo,1/1/2022 3:00:00 PM,Flores,sgsp,,5/30/2022 8:01:34 PM,sinae_covid_19,5/30/2022 8:01:34 PM,sinae_covid_19,-57.0290155617562,-33.4119411149321
77,cc46403e-90cd-4dd3-a11a-fd98dd377f6a,939,Forestal_Plantado,12/30/2021 3:00:00 PM,Treinta_y_Tres,sgsp,,5/30/2022 8:12:31 PM,sinae_covid_19,5/30/2022 8:22:41 PM,sinae_covid_19,-55.138492452933,-33.3500761636855
78,d0c08a52-54e8-45fe-b60d-8cdae46bb06e,566,De_Campo,4/8/2018 3:00:00 PM,Lavalleja,cecoed,,6/8/2022 8:21:36 PM,sinae_covid_19,6/8/2022 8:21:36 PM,sinae_covid_19,-55.3027941693213,-34.3875931217302
79,7325faa6-03ce-431c-91a3-68f02979c2d9,497,Forestal_Plantado,12/10/2019 3:00:00 PM,Rocha,cecoed,,6/8/2022 9:52:29 PM,sinae_covid_19,6/8/2022 9:52:29 PM,sinae_covid_19,-53.6296806707573,-34.102803659817
80,06620484-8e88-45df-8d84-55fc14a122bc,514,Interface_Urbana,1/24/2020 3:00:00 PM,Canelones,cecoed,,6/8/2022 9:59:24 PM,sinae_covid_19,6/8/2022 9:59:24 PM,sinae_covid_19,-55.6171777108653,-34.7645894328179
